Title,Author,Rating,Want to Read
Discrete Mathematics for Computer Science,Jon Pierre Fortney,N/A,1 Want to read
Computer Science in Industrial Application,Yanglv Ling,N/A,N/A
"Semantic Web - ISWC 2013: 12th International Semantic Web Conference, Sydney, NSW, Australia, October 21-25, 2013, Proceedings, Part II","Harith Alani, Lalana Kagal, Achille Fokoue, Paul Groth, Chris Biemann, Josiane Xavier Parreira, Lora Aroyo, Natasha Noy, Chris Welty, 1 other",N/A,N/A
Computation for Humanity: Information Technology to Advance Society,"Justyna Zander, Pieter J. Mosterman",N/A,N/A
"Advances in Energy Science and Equipment Engineering: Proceedings of the International Conference on Energy Equipment Science and Engineering, , May 30-31, 2015, Guangzhou, China","Shiquan Zhou, Aragona Patty, Shiming Chen",N/A,N/A
Introducing Computing: A Guide for Teachers,Lawrence Williams,N/A,N/A
"Data Warehousing and Knowledge Discovery: 16th International Conference, DaWaK 2014, Munich, Germany, September 2-4, 2014. Proceedings","Ladjel Bellatreche, Mukesh K. Mohania",N/A,1 Want to read
Qualitative Analysis Using NVivo: The Five-Level QDA® Method,"Nicholas H. Woolf, Christina Silver",N/A,1 Want to read
Considering Computer Contracting?,Michael Powell,N/A,N/A
Bioinformatics basics: applications in biological science and medicine,"Lukas K. Buehler, Hooman H. Rashidi",N/A,2 Want to read
Algorithmic Learning in a Random World,"Vladimir Vovk, Alex Gammerman, Glenn Shafer",N/A,N/A
"Understanding Computers: Today and Tomorrow, Comprehensive",Deborah Morley,N/A,15 Want to read
Digital Image Processing: An Algorithmic Introduction using Java,"Wilhelm Burger, Mark James Burge",N/A,1 Want to read
"Performance Evaluation and Benchmarking: First TPC Technology Conference, TPCTC 2009, Lyon, France, August 24-28, 2009, Revised Selected Papers",Raghunath Nambiar,N/A,N/A
"Process Mining: Discovery, Conformance and Enhancement of Business Processes",Wil M. P. van der Aalst,N/A,3 Want to read
From semantics to computer science: essays in honour of Gilles Kahn,"Gilles Kahn, Yves Bertot",N/A,N/A
Advanced Topics in Bisimulation and Coinduction,Davide Sangiorgi,N/A,N/A
"A short course in computational science and engineering: C++, Java, and Octave numerical programming with free software tools",David Yevick,N/A,1 Want to read
"Fundamentals of Software Engineering: 4th IPM International Conference, FSEN 2011, Tehran, Iran, April 20-22, 2011, Revised Selected Papers",Farhad Arbab,N/A,1 Want to read
Fuzzy learning and applications,"Marco Russo, Marco Russo, Lakhmi C. Jain",N/A,N/A
Modern Compiler Design,Dick Grune,N/A,2 Want to read
Body sensor networks,Guang-Zhong Yang,N/A,N/A
Guide to Teaching Computer Science: An Activity-Based Approach,"Orit Hazzan, Tami Lapidot, Noa Ragonis",N/A,N/A
Basics of Modern Mathematical Statistics: Exercises and Solutions,"Wolfgang Karl Härdle, Vladimir Spokoiny, Vladimir Panov, Weining Wang",N/A,N/A
"Formal Grammar: 17th and 18th International Conferences, FG 2012 Opole, Poland, August 2012, Revised Selected PapersFG 2013 düsseldorf, Germany, August 2013, Proceedings","Glyn Morrill, Mark-Jan Nederhof",N/A,N/A
"Computer and Computing Technologies in Agriculture VII: 7th IFIP WG 5. 14 International Conference, CCTA 2013, Beijing, China, September 18-20, 2013, Revised Selected Papers, Part II","Daoliang Li, Yingyi Chen",N/A,N/A
"Evolutionary Computation in Combinatorial Optimization: 14th European Conference, EvoCOP 2014, Granada, Spain, April 23-25, 2014, Revised Selected Papers","Gabriela Ochoa, Francisco Chicano",N/A,N/A
"Computer Aided Systems Theory -- EUROCAST 2013: 14th International Conference, Las Palmas de Gran Canaria, Spain, February 10-15, 2013. Revised Selected Papers, Part I","Roberto Moreno-Díaz, Franz Pichler, Alexis Quesada-Arencibia",N/A,N/A
"E-Learning, e-Education, and Online Training: Third International Conference, ELEOT 2016, Dublin, Ireland, August 31 - September 2, 2016, Revised Selected Papers","Giovanni Vincenti, Alberto Bucciero, Markus Helfert, Matthias Glowatz",N/A,N/A
Service-Oriented Computing,"Chengfei Liu, Heiko Ludwig, Farouk Toumani, Qi Yu",N/A,N/A
"Image and Graphics: 9th International Conference, ICIG 2017, Shanghai, China, September 13-15, 2017, Revised Selected Papers, Part III","Yao Zhao, Xiangwei Kong, David Taubman",N/A,N/A
"Machine Learning and Knowledge Discovery in Databases: European Conference, ECML PKDD 2014, Nancy, France, September 15-19, 2014. Proceedings, Part II","Toon Calders, Floriana Esposito, Eyke Hüllermeier, Rosa Meo",N/A,N/A
"Theory and Applications of Formal Argumentation: Third International Workshop, TAFA 2015, Buenos Aires, Argentina, July 25-26, 2015, Revised Selected Papers","Elizabeth Black, Sanjay Modgil, Nir Oren",N/A,N/A
Integrating Computer Science Across the Core: Strategies for K-12 Districts,"Tom Liam Lynch, Gerald Ardito, Pam Amendola",N/A,N/A
"Information Processing and Management of Uncertainty: 15th International Conference on Information Processing and Management of Uncertainty in Knowledge-Based Systems, IPMU 2014, Montpellier, France, July 15-19, 2014. Proceedings, Part I","Anne Laurent, Olivier Strauss, Bernadette Bouchon-Meunier, Ronald R. Yager",N/A,N/A
"Communications and Multimedia Security: 11th IFIP TC 6/TC 11 International Conference, CMS 2010, Linz, Austria, May 31 - June 2, 2010, Proceedings","Bart De Decker, David W. Chadwick",N/A,1 Want to read
Computational Intelligence: A Methodological Introduction,Rudolf Kruse,N/A,1 Want to read
Advances in Computers: Dependable and Secure Systems Engineering,"Ali Hurson, Sahra Sedigh",N/A,N/A
"Computing, Control, Information and Education Engineering: Proceedings of the 2015 Second International Conference on Computer, Intelligent and Education Technology , April 11-12, 2015, Guilin, P. R. China","Wenli Yao, Hsiang-Chuan Liu, Wen-Pei Sung",N/A,N/A
Frontiers in Data Science,"Matthias Dehmer, Frank Emmert-Streib",N/A,N/A
"Information, Computer and Application Engineering: Proceedings of the International Conference on Information Technology and Computer Application Engineering , Hong Kong, China, 10-11 December 2014","Wenli Yao, Hsiang-Chuan Liu, Wen-Pei Sung",N/A,N/A
"Informatics, Networking and Intelligent Computing: Proceedings of the 2014 International Conference on Informatics, Networking and Intelligent Computing , 16-17 November 2014, Shenzhen, China",Jiaxing Zhang,N/A,N/A
"Computational Intelligence in Industrial Application: Proceedings of the 2014 Pacific-Asia Workshop on Computer Science in Industrial Application , Singapore, December 8-9 2014",Yanglv Ling,N/A,N/A
"Environmental Science and Information Application Technology: Proceedings of the 2014 5th International Conference on Environmental Science and Information Application Technology , Hong Kong, November 7-8 2014",David Chan,N/A,N/A
"Systems and Computer Technology: Proceedings of the 2014 Internaional Symposium on Systems and Computer Technology, , Shanghai, China, 15-17 November 2014","Yunfei Chen, Xiaodong Liu, Chunlei Ji, Qiang Sun, Yuan Ren",N/A,N/A
HUSITA7-The 7th International Conference of Human Services Information Technology --Building a Digital-Inclusive Society,C. K. Law,N/A,N/A
BTEC Nationals - IT Practitioners Tutor Resource Pack,"Howard Anderson, Sharon Yull",N/A,N/A
"Experimental IR Meets Multilinguality, Multimodality, and Interaction: 9th International Conference of the CLEF Association, CLEF 2018, Avignon, France, September 10-14, 2018, Proceedings","Josanne Mothe, Jacques Savoy, Jaap Kamps, Karen Pinel-Sauvagnat, Gareth Jones, Eric San Juan, Linda Capellato, Nicola Ferro",N/A,N/A
Formal Methods in Computer Science,Jiacun Wang,N/A,1 Want to read
"Proceedings of 3rd International Conference on Advanced Computing, Networking and Informatics: ICACNI 2015, Volume 2","Atulya Nagar, Durga Prasad Mohapatra, Nabendu Chaki",N/A,N/A
Augmented Reality Art: From an Emerging Technology to a Novel Creative Medium,Vladimir Geroimenko,N/A,1 Want to read
"Nature of Computation and Communication: 9th EAI International Conference, ICTCC 2023, Ho Chi Minh City, Vietnam, October 26-27, 2023, Proceedings","Phan Cong Vinh, Leonard Barolli",N/A,N/A
GREEN ICT and ENERGY,Martijn Warnier,N/A,2 Want to read
"Web Information Systems Engineering -- WISE 2013: 14th International Conference, Nanjing, China, October 13-15, 2013, Proceedings, Part II","Xuemin Lin, Yannis Manolopoulos, Divesh Srivastava, Guangyan Huang",N/A,N/A
Technology In Action Complete,Kendall Martin,N/A,1 Want to read
"Multimodal Pattern Recognition of Social Signals in Human-Computer-Interaction: Third IAPR TC3 Workshop, MPRSS 2014, Stockholm, Sweden, August 24, 2014, Revised Selected Papers","Friedhelm Schwenker, Stefan Scherer, Louis-Philippe Morency",N/A,N/A
Teaching Computing: A Practitioner's Perspective,Henry M. Walker,N/A,N/A
"Computational Intelligence and Intelligent Systems: 7th International Symposium, ISICA 2015, Guangzhou, China, November 21-22, 2015, Revised Selected Papers","Kangshun Li, Jin Li, Liu, Yong, Aniello Castiglione",N/A,N/A
Modellistica Numerica per Problemi Differenziali,Alfio Quarteroni,N/A,1 Want to read
"Electrical, Control Engineering and Computer Science: Proceedings of the 2015 International Conference on Electrical, Control Engineering and Computer Science",Liu Jian,N/A,N/A
Introduction to Lattice Theory with Computer Science Applications,Vijay K. Garg,N/A,N/A
Advances in Computer Science and Ubiquitous Computing: CSA and CUTE,"Doo-Soon Park, Han-Chieh Chao, Young-Sik Jeong, James J. (Jong Hyuk) Park",N/A,N/A
"Human Aspects of Information Security, Privacy, and Trust: 4th International Conference, HAS 2016, Held As Part of HCI International 2016, Toronto, on, Canada, July 17-22, 2016, Proceedings",Theo Tryfonas,N/A,N/A
"Technology in Action, Complete: International Edition","Alan Evans, Jonathan Weyers, Mary Anne Poatsy",N/A,2 Want to read
"Intelligent Robotics and Applications: 5th International Conference, ICIRA 2012, Montreal, QC, Canada, October 3-5, 2012, Proceedings, Part III",Chun-Yi Su,N/A,N/A
Mathematical Principles of the Internet Volume 2,Nirdosh Bhatnagar,N/A,N/A
Discrete Mathematical Structures: A Succinct Foundation,"B. V. Senthil Kumar, Hemen Dutta",N/A,1 Want to read
Graph Searching Games and Probabilistic Methods,"Anthony Bonato, Pawel Pralat",N/A,1 Want to read
Teaching Computing in Secondary Schools: A Practical Handbook,William Lau,N/A,N/A
Foundations of Discrete Mathematics with Algorithms and Programming,"Sriraman Sridharan, R. Balakrishnan",N/A,N/A
"Computer, Communication and Electrical Technology: Proceedings of the International Conference on Advancement of Computer Communication and Electrical Technology , West Bengal, India, 21-22 October 2016","Debatosh Guha, Himadri Sekhar Dutta, Badal Chakraborty",N/A,N/A
Computer and Information Science,Roger Lee,N/A,N/A
An introduction to computer science using Java,"Samuel N. Kamin, M. Dennis Mickunas, Edward M. Reingold",N/A,4 Want to read
Music Data Analysis: Foundations and Applications,"Claus Weihs, Dietmar Jannach, Igor Vatolkin, Guenter Rudolph",N/A,1 Want to read
From Computing to Computational Thinking,Paul S. Wang,N/A,1 Want to read
Discovering computers 2007: a gateway to information : web enhanced - introductory,"Gary B. Shelly, Thomas J. Cashman, Misty E. Vermaat",N/A,1 Want to read
A Balanced Introduction to Computer Science,David Reed,N/A,18 Want to read
Bcs Glossary Of Computing And Ict,Arnold Burdett,N/A,N/A
Trust in cyberspace,Fred B. Schneider,N/A,N/A
Modeling in event-b: system and software engineering,Jean-Raymond Abrial,N/A,1 Want to read
Playing with the Past: into the Future,Erik Champion,N/A,N/A
Algorithms and parallel computing,Fayez Gebali,N/A,N/A
Harnessing green IT: principles and practices,"San Murugesan, G. R. Gangadharan",N/A,1 Want to read
Hybrid metaheuristics: an emerging approach to optimization,Christian Blum,N/A,N/A
"Computer Safety, Reliability, and Security: 29th International Conference, SAFECOMP 2010, Vienna, Austria, September 14-17, 2010. Proceedings",Erwin Schoitsch,N/A,N/A
"Abdominal Imaging. Computational and Clinical Applications: Third International Workshop, Held in Conjunction with MICCAI 2011, Toronto, ON, Canada, September 18, 2011, Revised Selected Papers",Hiroyuki Yoshida,N/A,N/A
"Agent and Multi-Agent Systems. Technologies and Applications: 6th KES International Conference, KES-AMSTA 2012,Dubrovnik, Croatia, June 25-27, 2012. Proceedings",Gordan Jezic,N/A,N/A
"Advances in Multimedia Modeling: 19th International Conference, MMM 2013, Huangshan, China, January 7-9, 2013, Proceedings, Part I",Shipeng Li,N/A,N/A
High-speed range estimation based on intensity gradient analysis,Kurt D. Skifstad,N/A,N/A
Guide to Software Development: Designing and Managing the Life Cycle,Arthur M. Langer,N/A,3 Want to read
High Performance Computing: Programing and Applications,"John Levesque, Richard Friedman, Gene Wagenbreth",N/A,1 Want to read
"Foundations of Intelligent Systems: 16th International Symposium, ISMIS 2006, Bari, Italy, September 27-29, 2006, Proceedings (Lecture Notes in Computer Science)","Floriana Esposito, Zbigniew W. Ras, Donato Malerba, Giovanni Semeraro",N/A,N/A
Foundations of knowledge acquisition: cognitive models of complex learning,Susan Chipman,N/A,N/A
Fundamentals of Business Process Management,Marlon Dumas,N/A,12 Want to read
Logica Universalis: Towards a General Theory of Logic,Jean-Yves Beziau,N/A,1 Want to read
"Elasticity: theory, applications, and numerics",Martin H. Sadd,N/A,N/A
Disney Stories: Getting to Digital,Newton Lee,N/A,1 Want to read
"Display and Interface Design:: Subtle  Science, Exact Art","Kevin B. Bennett, Kevin B. Bennett, John M. Flach",N/A,1 Want to read
Elektrotechnik für Ingenieure - Formelsammlung: Elektrotechnik kompakt,Wilfried Weißgerber,N/A,N/A
Data Analytics: Models and Algorithms for Intelligent Data Analysis,Thomas A. Runkler,N/A,5 Want to read
"Database and Expert Systems Applications: 23rd International Conference, DEXA 2012, Vienna, Austria, September 3-6, 2012. Proceedings, Part II",Stephen W. Liddle,N/A,N/A
"Dynamics in Logistics: Third International Conference, LDIC 2012 Bremen, Germany, February/March 2012 Proceedings",Hans-Jörg Kreowski,N/A,2 Want to read
Distributed user interfaces: designing interfaces for the distributed ecosystem,"José A. Gallud, Ricardo Tesoriero, Penichet, Victor, M. R.",N/A,2 Want to read
Dynamic Modeling,Bruce Hannon,N/A,N/A
"Enterprise Architecture at Work: Modelling, Communication and Analysis",Marc Lankhorst,N/A,1 Want to read
Computational methods for large systems: electronic structure approaches for biotechnology and nanotechnology,Jeffrey R. Reimers,N/A,N/A
Computational Methods in Earthquake Engineering: Volume 2,Manolis Papadrakakis,N/A,N/A
Computer and Information Science,Roger Y. Lee,N/A,N/A
Current trends in theoretical computer science: entering the 21st century,"Grzegorz Rozenberg, Arto Salomaa",N/A,N/A
Careers in Focus: Computers (Ferguson's Careers in Focus),Ferguson Publishing Company,N/A,N/A
"Computers and Games: 4th International Conference, CG 2004, Ramat-Gan, Israel, July 5-7, 2004. Revised Papers (Lecture Notes in Computer Science)","H. Jaap van den Herik, Yngvi Björnsson, Nathan S. Netanyahu",N/A,2 Want to read
Computing Meaning: Volume 1 (Studies in Linguistics and Philosophy),Harry Bunt,N/A,N/A
"Policies and Research in Identity Management: Third IFIP WG 11.6 Working Conference, IDMAN 2013, London, UK, April 8-9, 2013. Proceedings",Simone Fischer-Hübner,N/A,1 Want to read
Proofs from the Book,"Martin Aigner, Günter Ziegler",N/A,3 Want to read
Finite and algorithmic model theory,Javier Esparza,N/A,N/A
"Information Computing and Applications: Second International Conference, ICICA 2011, Qinhuangdao, China, October 28-31, 2011. Proceedings, Part II",Chunfeng Liu,N/A,N/A
Introductory time series with R,"Paul S. P. Cowpertwait, Andrew V. Metcalfe",N/A,5 Want to read
Introduction to Data Technologies,Paul Murrell,N/A,2 Want to read
"Graph Structures for Knowledge Representation and Reasoning: Second International Workshop, GKR 2011, Barcelona, Spain, July 16, 2011. Revised Selected Papers",Madalina Croitoru,N/A,N/A
Grundkurs JAVA: Von Den Grundlagen Bis Zu Datenbank- und Netzanwendungen,Dietmar Abts,N/A,2 Want to read
Beauty is our business: a birthday salute to Edsger W. Dijkstra,"W. H. J. Feijen, A.J.M. van Gasteren, David Gries, J. Misra",N/A,N/A
Bioinformatics: high performance parallel computer architectures,Bertil Schmidt,N/A,2 Want to read
"Coloured Petri Nets, Vol. 1: Basic Concepts, Analysis Methods and Practical Use",Kurt Jensen,N/A,N/A
"Trust, Privacy and Security in Digital Business: 8th International Conference, TrustBus 2011, Toulouse, France, August 29 - September 2, 2011. Proceedings",Steven Furnell,N/A,N/A
"Pattern Recognition in Bioinformatics: 8th IAPR International Conference, PRIB 2013, Nice, France, June 17-20, 2013. Proceedings",Alioune Ngom,N/A,N/A
Prime numbers and computer methods for factorization,Hans Riesel,N/A,N/A
"Social Robotics: 4th International Conference, ICSR 2012, Chengdu, China, October 29-31, 2012. Proceedings",Shuzhi Sam Ge,N/A,N/A
Scientific Computing in Electrical Engineering,"Ursula van Rienen, Michael Günther",N/A,N/A
"Smart Graphics: 5th International Symposium, SG 2005, Frauenwörth Cloister, Germany, August 22-24, 2005, Proceedings (Lecture Notes in Computer Science)",Andreas Butz,N/A,N/A
"Systems and Frameworks for Computational Morphology: Second International Workshop, SFCM 2011, Zurich, Switzerland, August 26, 2011. Proceedings",Cerstin Mahlow,N/A,N/A
Sustainable Manufacturing: Shaping Global Value Creation,Günther Seliger,N/A,N/A
"Theory and Practice of Computation: 2nd Workshop on Computation: Theory and Practice, Manila, The Philippines, September 2012, Proceedings",Shin-ya Nishizaki,N/A,N/A
"Theory and Practice of Natural Computing: First International Conference, TPNC 2012, Tarragona, Spain, October 2-4, 2012. Proceedings",Adrian-Horia Dediu,N/A,N/A
Writing for Computer Science,Justin Zobel,N/A,6 Want to read
Technology for Success: Computer Concepts,"Jennifer Campbell, Barbara Clemens, Steven Freund, Mark Frydenberg, Ralph Hooper",3.0 (2 ratings),28 Want to read
Discrete algorithmic mathematics,Stephen B. Maurer,N/A,N/A
A history of algorithms: from the pebble to the microchip,"Jean-Luc Chabert, E. Barbin",N/A,2 Want to read
Dictionary of computer terminology: English-Arabic,Taiseer Kilani,N/A,N/A
Information Retrieval: Algorithms and Heuristics (The Information Retrieval Series),"Grossman, David A., Ophir Frieder",N/A,N/A
Virtual Music: Computer Synthesis of Musical Style,David Cope,N/A,1 Want to read
The Elements of Statistical Learning,"Trevor Hastie, Robert Tibshirani, Jerome Friedman",4.3 (3 ratings),24 Want to read
"Evolutionary Multi-Criterion Optimization: Second International Conference, EMO 2003, Faro, Portugal, April 8-11, 2003, Proceedings (Lecture Notes in Computer Science)","Carlos M. Fonseca, Kalyanmoy Deb, Peter J. Fleming, Eckart Zitzler",N/A,N/A
Logic and Information,Keith J. Devlin,N/A,4 Want to read
"Large-Scale Scientific Computing: 11th International Conference, LSSC 2017, Sozopol, Bulgaria, June 5-9, 2017, Revised Selected Papers","Ivan Lirkov, Svetozar Margenov, Jerzy Wasniewski",N/A,N/A
Introduction to probability and statistics: principles and applications for engineering and the computing sciences,"J. Susan Milton, Jesse C. Arnold",N/A,3 Want to read
"Leading, concurrent, or lagging?: the knowledge content of computer science in higher education and the labor market",Clifford Adelman,N/A,N/A
Wikis: Tools for Information Work and Collaboration (Information Professional),"Jane Klobas, JANE KLOBAS",N/A,N/A
The Bit and the Pendulum: From Quantum Computing to M Theory-The New Physics of Information,Tom Siegfried,N/A,2 Want to read
"Stochastic Algorithms: Foundations and Applications: International Symposium, SAGA 2001 Berlin, Germany, December 13-14, 2001 Proceedings (Lecture Notes in Computer Science)",Kathleen Steinhöfel,N/A,N/A
Imitation of Life: How Biology Is Inspiring Computing,Nancy Forbes,N/A,2 Want to read
Stochastic Relations: Foundations for Markov Transition Systems (Chapman & Hall/Crc Studies in Informatics),Ernst-Erich Doberkat,N/A,N/A
numerical treatment of differential equations,Lothar Collatz,N/A,N/A
Microsoft SharePoint: Building Office 2007 Solutions in C# 2005 (Expert's Voice in Sharepoint),Scot P. Hillier,N/A,N/A
Algorithmic Combinatorics on Partial Words,Francine Blanchet-Sadri,N/A,1 Want to read
Level set methods and dynamic implicit surfaces,"Stanley Osher, Stanley J. Osher, Ronald P. Fedkiw",N/A,N/A
Introduction to computational science: modeling and simulation for the sciences,Angela B. Shiflet,N/A,6 Want to read
Careers in Computers,Lila B. Stair,N/A,N/A
Introduction to Scientific Computing: A Matrix-Vector Approach Using MATLAB (2nd Edition),Charles F. Van Loan,N/A,1 Want to read
Self-Organization in Continuous Adaptive Networks,"Anne-Ly Do, Thilo Gross",N/A,N/A
"Database Systems for Advanced Applications: 18th International Conference, DASFAA 2013, Wuhan, China, April 22-25, 2013. Proceedings, Part I","Weiyi Meng, Ling Feng, Stephane Bressan, Werner Winiwarter, Wei Song",N/A,N/A
Recent Progress in Computational Sciences and Engineering (2 Vols),Theodore Simos,N/A,N/A
Stochastic Calculus: Applications in Science and Engineering,Mircea Grigoriu,N/A,N/A
Categories and Computer Science,R. F. C. Walters,N/A,1 Want to read
A Beginner's Guide to Finite Mathematics,"W. D. Wallis, W.D. Wallis",N/A,1 Want to read
The game production handbook,Heather Maxwell Chandler,5.0 (1 rating),12 Want to read
Enterprise SOA: designing IT for business innovation,"Dan Woods, Thomas Mattern",N/A,1 Want to read
Tomorrows technology and you,George Beekman,N/A,1 Want to read
Metrical Theory of Continued Fractions (Mathematics and Its Applications),"Marius Iosifescu, M. Iosifescu, C. Kraaikamp",N/A,N/A
Handbook of Theoretical Computer Science : Formal Models and Semantics,J. Van Leeuwen,N/A,2 Want to read
Painter X for Photographers: Creating Painterly Images Step by Step,Martin Addison,N/A,N/A
Probability and statistics for computer science,"Johnson, James L.",N/A,4 Want to read
"Graph-Based Representation and Reasoning: 21st International Conference on Conceptual Structures, ICCS 2014, Ia&#351;i, Romania, July 27-30, 2014, Proceedings","Nathalie Hernandez, Robert Jäschke, Madalina Croitoru",N/A,N/A
"Biomedical Simulation: 6th International Symposium, ISBMS 2014, Strasbourg, France, October 16-17, 2014, Proceedings","Fernando Bello, Stéphane Cotin",N/A,N/A
"Network and Parallel Computing: 10th IFIP International Conference, NPC 2013, Guiyang, China, September 19-21, 2013, Proceedings","Ching-Hsien Hsu, Xiaoming Li, Xuanhua Shi",N/A,N/A
Discrete Mathematics with Ducks,sarah-marie belcastro,N/A,N/A
For the Love of Cybernetics: Personal Narratives by Cyberneticians,Jocelyn Chapman,N/A,N/A
"Image and Video Technology: 7th Pacific-Rim Symposium, PSIVT 2015, Auckland, New Zealand, November 25-27, 2015, Revised Selected Papers","Reinhard Klette, Mariano Rivera, Shin`ichi Satoh",N/A,N/A
Internetworking: Technological Foundations and Applications,"Christoph Meinel, Harald Sack",N/A,N/A
Enterprise Modeling: Tackling Business Challenges with the 4EM Method,"Kurt Sandkuhl, Janis Stirna, Anne Persson, Matthias Wißotzki",N/A,N/A
"Service-Oriented and Cloud Computing: Third European Conference, ESOCC 2014, Manchester, UK, September 2-4, 2014, Proceedings","Schahram Dustdar, Frank Leymann, Massimo Villari",N/A,N/A
"Ambient Intelligence: European Conference, AmI 2009, Salzburg, Austria, November 18-21, 2009. Proceedings","Andreas Braun, Reiner Wichert, Antonio Maña",N/A,N/A
VLSI-SoC: From Systems to Silicon,"Christian Piguet, Ricardo Reis, Dimitrios Soudris",N/A,N/A
"Computer-Assisted and Robotic Endoscopy: First International Workshop, CARE 2014, Boston, MA, USA September 18, 2014, Held in Conjunction with MICCAI 2014","Terry Peters, Guang-Zhong Yang, Nassir Navab, Kensaku Mori, Xiongbiao Luo, Tobias Reichl, Jonathan McLeod",N/A,N/A
"ICT Education: 48th Annual Conference of the Southern African Computer Lecturers' Association, SACLA 2019, Northern Drakensberg, South Africa, July 15-17, 2019, Revised Selected Papers",Stefan Gruner,N/A,N/A
25 Problems for STEM Education,Valery F. Ochkov,N/A,N/A
"Artificial General Intelligence: 9th International Conference, AGI 2016, New York, NY, USA, July 16-19, 2016, Proceedings","Kai-Uwe Kühnberger, Sebastian Rudolph, Pei Wang",N/A,N/A
"Progress in Image Analysis and Processing, ICIAP 2013: Naples, Italy, September 9-13, 2013, Proceedings, Part I",Alfredo Petrosino,N/A,N/A
"Diagrammatic Representation and Inference: 13th International Conference, Diagrams 2022, Rome, Italy, September 14-16, 2022, Proceedings","Peter Chapman, Gem Stapleton, Amirouche Moktefi, Sarah Perez-Kriz, Francesco Bellucci",N/A,N/A
"Smart Innovations in Communication and Computational Sciences: Proceedings of ICSICCS 2017, Volume 1","Shailesh Tiwari, Munesh C. Trivedi, Krishna Kumar Mishra, A.K. Misra, Khedo Kavi Kumar, Erma Suryani",N/A,N/A
"Tools and Algorithms for the Construction and Analysis of Systems: 24th International Conference, TACAS 2018, Held as Part of the European Joint ...","Dirk Beyer, Marieke Huisman",N/A,N/A
"Web Information Systems and Technologies: 11th International Conference, WEBIST 2015, Lisbon, Portugal, May 20-22, 2015, Revised Selected Papers","María José Escalona, Francisco Domínguez Mayo, Tim A. Majchrzak, Valérie Monfort",N/A,N/A
"Supercomputing: 29th International Conference, ISC 2014, Leipzig, Germany, June 22-26, 2014, Proceedings","Julian M. Kunkel, Thomas Ludwig, Hans Meuer",N/A,N/A
Computer Science Education,Carsten Schulte,N/A,1 Want to read
Practical Guide to Teaching Computing and ICT in the Secondary School,"Andrew Connell, Alison Hramiak, Gavin Rhoades, Neil Stanley, Anthony Edwards",N/A,N/A
"Research in Attacks, Intrusions and Defenses: 17th International Symposium, RAID 2014, Gothenburg, Sweden, September 17-19, 2014, Proceedings","Angelos Stavrou, Herbert Bos, Georgios Portokalidis",N/A,N/A
Computer science handbook,Allen B. Tucker,N/A,3 Want to read
Big data computing,Rajendra Akerkar,N/A,2 Want to read
Computer Vision: A Reference Guide,Katsushi Ikeuchi,N/A,N/A
Introduction to numerical analysis and scientific computing,Nabil Nassif,N/A,1 Want to read
Computer concepts BASICS,"Dolores Wells Pusins, Ann Ambrose, Dolores Wells, Dolores J. Wells",N/A,15 Want to read
Universal Algebra and Applications in Theoretical Computer Science,"Klaus Denecke, Shelly L. Wismath",N/A,1 Want to read
"Systems Science in Engineering for Advanced Modelling, Simulation, Control and Optimization","Jean Chamberlain Chedjou, Kyandoghere Kyamakya",N/A,1 Want to read
Doing Research in and on the Digital: Research Methods Across Fields of Inquiry,"Cristina Costa, Jenna Condie",N/A,N/A
"Innovation in Design, Communication and Engineering: Proceedings of the 2014 3rd International Conference on Innovation, Communication and Engineering , Guiyang, Guizhou, P. R. China, October 17-22 2014","Teen-Hang Meen, Stephen Prior, Artde Lam",N/A,N/A
Introduction to Lattice Algebra,"Gerhard X. Ritter, Gonzalo Urcid",N/A,N/A
Learning Rails,"Simon St Laurent, Edd Dumbill",N/A,N/A
Personas - User Focused Design,Lene Nielsen,4.0 (1 rating),2 Want to read
Computability and Complexity Theory (Texts in Computer Science),"Steven Homer, Alan L. Selman",N/A,N/A
SilverStripe: the complete guide to CMS development,Ingo Schommer,N/A,N/A
"Knowledge Representation for Health-Care: AIME 2011 Workshop KR4HC 2011, Bled, Slovenia, July 2-6, 2011. Revised Selected Papers",David Riaño,N/A,N/A
"Neural Information Processing: 13th International Conference, ICONIP 2006, Hong Kong, China, October 3-6, 2006, Proceedings, Part I (Lecture Notes in Computer Science)",International Conference on Neural Infor...,N/A,N/A
"World multiconference on systemics, cybernetics and informatics: proceedings, ISAS '98 : (4th International Conference on Information systems, Analysis and synthesis)",International Conference on Information ...,N/A,N/A
Visions: How Science Will Revolutionize the 21st Century and Beyond,Michio Kaku,N/A,14 Want to read
Computationalism: New Directions,Matthias Scheutz,N/A,N/A
Principles of Data Mining,Max Bramer,N/A,N/A
Guide to Medical Image Analysis: Methods and Algorithms,Klaus D. Toennies,N/A,1 Want to read
"Semantic Web -- ISWC 2012: 11th International Semantic Web Conference, Boston, MA, USA, November 11-15, 2012, Proceedings, Part II","Philippe Cudré-Mauroux, Jeff Heflin, Evren Sirin, Tania Tudorache, Jerome Euzenat, Manfred Hauswirth, Josiane Xavier Parreira, Jim Hendler, Guus Schreiber",N/A,N/A
Computer and Information Sciences: Proceedings of the 25th International Symposium on Computer and Information Sciences,"Tadeusz Czachórski, Erol Gelenbe, Krzysztof Grochla, Ricardo Lent",N/A,N/A
"Information and Software Technologies: 21st International Conference, ICIST 2015, Druskininkai, Lithuania, October 15-16, 2015, Proceedings","Giedre Dregvaite, Robertas Damasevicius",N/A,N/A
